epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,459.188,0.88384,1.14973,0.63285,0.00517,0.9898,0.80398,0.76856,0.83675,0.66661,0.81101,0.75893,0.83515,0.64991,0.85593,1.3699,0.75084,0.00653,0,0.0009308,0.0009308,0.0009308
29,475.288,0.87412,1.16237,0.62017,0.00499,0.95007,0.78882,0.77293,0.84618,0.66648,0.79135,0.77511,0.84303,0.64861,0.86943,1.34882,0.76727,0.00671,0,0.0008912,0.0008912,0.0008912
30,491.192,0.86037,1.13834,0.58492,0.0047,0.80408,0.81445,0.79064,0.85662,0.67409,0.81185,0.79138,0.85074,0.65384,0.86352,1.3519,0.75653,0.00652,0,0.0008516,0.0008516,0.0008516
31,507.343,0.88056,1.15616,0.59859,0.00516,0.7639,0.81089,0.80045,0.8677,0.66345,0.81362,0.78634,0.85507,0.64939,0.90425,1.39844,0.72948,0.00731,0,0.000812,0.000812,0.000812
32,523.472,0.8507,1.13722,0.58239,0.00521,0.79518,0.83294,0.79476,0.8636,0.68901,0.82649,0.79041,0.85704,0.67791,0.82762,1.28015,0.70343,0.00622,0,0.0007724,0.0007724,0.0007724
33,539.627,0.81932,1.10832,0.58528,0.00495,0.71937,0.84605,0.76195,0.8642,0.70057,0.84612,0.76201,0.85755,0.67652,0.80716,1.35595,0.72514,0.0062,0,0.0007328,0.0007328,0.0007328
34,556.061,0.8249,1.08174,0.54339,0.00465,0.70237,0.84658,0.80677,0.87679,0.70001,0.84132,0.81332,0.87446,0.68541,0.83994,1.411,0.66757,0.0065,0,0.0006932,0.0006932,0.0006932
35,572.54,0.84412,1.09831,0.54626,0.00484,0.75858,0.85522,0.76092,0.83693,0.66777,0.8454,0.75218,0.82014,0.64412,0.83475,1.35183,0.84363,0.00641,0,0.0006536,0.0006536,0.0006536
36,588.5,0.82684,1.05376,0.54813,0.00458,0.73589,0.81837,0.7762,0.84465,0.67138,0.80619,0.77511,0.8308,0.65645,0.87084,1.41761,0.82393,0.00687,0,0.000614,0.000614,0.000614
37,604.682,0.78985,1.0433,0.54203,0.00455,0.66649,0.82457,0.77838,0.86535,0.70325,0.82572,0.77948,0.85804,0.68422,0.7852,1.26348,0.71431,0.00602,0,0.0005744,0.0005744,0.0005744
